pt104,3.54,4.21
pt105,2.98,3.54
pt106,6.34,2.98
pt107,5.78,1.24
pt108,4.21,7.65
pt109,3.65,6.34
pt110,5.74,4.21
pt111,2.67,3.54
pt112,1.24,2.98
pt113,3.54,1.24
pt114,2.98,7.65
pt115,6.34,6.34
pt116,5.78,4.21
pt117,4.21,3.54
pt118,3.65,2.98
pt119,5.74,1.24
pt120,2.67,7.65
pt121,1.24,6.34
pt122,3.54,4.21
pt123,2.98,3.54
pt124,6.34,2.98
pt125,5.78,1.24
pt126,4.21,7.65
pt127,3.65,6.34
pt128,5.74,4.21
pt129,2.67,3.54
pt130,1.24,2.98
pt131,3.54,1.24
pt132,2.98,7.65
pt133,6.34,6.34
pt134,5.78,4.21
pt135,4.21,3.54
pt136,3.65,2.98
pt137,5.74,1.24
pt138,2.67,7.65
pt139,1.24,6.34
pt140,3.54,4.21
pt141,2.98,3.54
pt142,6.34,2.98
pt143,5.78,1.24
pt144,4.21,7.65
pt145,3.65,6.34
pt146,5.74,4.21
pt147,2.67,3.54
pt148,1.24,2.98
pt149,3.54,1.24
pt150,2.98,7.65
pt151,8.26,4.92
pt152,7.34,5.76
pt153,6.45,6.83
pt154,5.67,7.54
pt155,4.12,2.48
pt156,3.89,3.27
pt157,2.76,1.34
pt158,1.23,0.98
pt159,0.45,2.56
pt160,9.78,3.14
pt161,8.67,4.89
pt162,7.54,5.72
pt163,6.32,6.28
pt164,5.21,7.94
pt165,4.76,8.23
pt166,3.34,9.78
pt167,2.89,1.45
pt168,1.23,0.54
pt169,0.78,2.89
pt170,9.34,3.65
pt171,8.45,4.76
pt172,7.56,5.89
pt173,6.78,6.45
pt174,5.89,7.56
pt175,4.12,8.34
pt176,3.23,9.45
pt177,2.76,1.56
pt178,1.89,0.78
pt179,0.23,2.23
pt180,9.76,3.78
pt181,8.89,4.89
pt182,7.12,5.67
pt183,6.23,6.78
pt184,5.34,7.89
pt185,4.45,8.12
pt186,3.56,9.23
pt187,2.78,1.34
pt188,1.89,0.45
pt189,0.12,2.56
pt190,9.23,3.89
pt191,8.34,4.12
pt192,7.45,5.23
pt193,6.56,6.34
pt194,5.67,7.45
pt195,4.89,8.56
pt196,3.23,9.67
pt197,2.34,1.78
pt198,1.45,0.89
pt199,0.56,2.12
pt200,9.67,3.23
pt201,8.78,4.34
pt202,7.89,5.45
pt203,6.23,6.56
pt204,5.34,7.67
pt205,4.45,8.78
pt206,3.56,9.89
pt207,2.67,1.23
pt208,1.78,0.34
pt209,0.89,2.45
pt210,9.23,3.56
pt211,8.34,4.67
pt212,7.45,5.78
pt213,6.56,6.89
pt214,5.67,7.23
pt215,4.78,8.34
pt216,3.89,9.45
pt217,2.23,1.56
pt218,1.34,0.67
pt219,0.45,2.78
pt220,9.56,3.89
pt221,8.67,4.23
pt222,7.78,5.34
pt223,6.89,6.45
pt224,5.23,7.56
pt225,4.34,8.67
pt226,3.45,9.78
pt227,2.56,1.89
pt228,1.67,0.23
pt229,0.78,2.34
pt230,9.89,3.45
pt231,8.23,4.56
pt232,7.34,5.67
pt233,6.45,6.78
pt234,5.56,7.89
pt235,4.67,8.23
pt236,3.78,9.34
pt237,2.89,1.45
pt238,1.23,0.56
pt239,0.34,2.67
pt240,9.45,3.78
pt241,8.56,4.89
pt242,7.67,5.23
pt243,6.78,6.34
pt244,5.89,7.45
pt245,4.23,8.56
pt246,3.34,9.67
pt247,2.45,1.78
pt248,1.56,0.89
pt249,0.67,2.23
pt250,9.78,3.34
pt251,8.89,4.45
pt252,7.23,5.56
pt253,6.34,6.67
pt254,5.45,7.78
pt255,4.56,8.89
pt256,3.67,9.23
pt257,2.78,1.34
pt258,1.89,0.45
pt259,0.23,2.56
pt260,9.34,3.67
pt261,8.45,4.78
pt262,7.56,5.89
pt263,6.67,6.23
pt264,5.78,7.34
pt265,4.89,8.45
pt266,3.23,9.56
pt267,2.34,1.67
pt268,1.45,0.78
pt269,0.56,2.89
pt270,9.67,3.23
pt271,8.78,4.34
pt272,7.89,5.45
pt273,6.23,6.56
pt274,5.34,7.67
pt275,4.45,8.78
pt276,3.56,9.89
pt277,2.67,1.23
pt278,1.78,0.34
pt279,0.89,2.45
pt280,9.23,3.56
pt281,8.34,4.67
pt282,7.45,5.78
pt283,6.56,6.89
pt284,5.67,7.23
pt285,4.78,8.34
pt286,3.89,9.45
pt287,2.23,1.56
pt288,1.34,0.67
pt289,0.45,2.78
pt290,9.56,3.89
pt291,8.67,4.23
pt292,7.78,5.34
pt293,6.89,6.45
pt294,5.23,7.56
pt295,4.34,8.67
pt296,3.45,9.78
pt297,2.56,1.89
pt298,1.67,0.23
pt299,0.78,2.34
pt300,9.89,3.45
